"Q_No","Question_EN","Question_HI","Opt1_EN","Opt1_HI","Opt2_EN","Opt2_HI","Opt3_EN","Opt3_HI","Opt4_EN","Opt4_HI","Opt5_EN","Opt5_HI","Correct_Option","Sol_EN","Sol_HI"
"45","The factorization of y² - 7y + 12 is:","y² - 7y + 12 का गुणनखंडन है:","(y + 3)(y + 4)","(y + 3)(y + 4)","(y + 3)(y - 4)","(y + 3)(y - 4)","(y - 3)(y + 4)","(y - 3)(y + 4)","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","y² - 3y - 4y + 12 = y(y-3) - 4(y-3) = (y-3)(y-4). None of the given options matches this. Hence, Option E.","y² - 4y - 3y + 12 = y(y-4) -3(y-4) = (y-3)(y-4)। दिए गए विकल्पों में से कोई भी सही नहीं है, अतः उत्तर E होगा।"
"46","The mode of the observations 2, 3, 7, 9, 7, 1, 1, 9, 1, 6, 9 is:","अवलोकनों 2, 3, 7, 9, 7, 1, 1, 9, 1, 6, 9 का बहुलक है:","2","2","1","1","9","9","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","The number 1 appears 3 times and the number 9 also appears 3 times (maximum frequency). Since there are two modes, it is 'More than one'.","दी गई शृंखला में 1 तीन बार और 9 भी तीन बार आया है। अतः इसके दो बहुलक (1 और 9) हैं। इसलिए उत्तर 'एक से अधिक' होगा।"
"47","Which of the following instruments is used to detect the current flowing in an electrical circuit?","निम्नलिखित में से वह कौन-सा यन्त्र है जिसके द्वारा विद्युत् परिपथ में बहने वाली धारा की पहचान होती है?","Galvanometer","गल्वनोमीटर","Generator","जेनरेटर","Ammeter","अमीटर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","A Galvanometer is used to detect the presence and direction of a small electric current, while an Ammeter measures its magnitude.","गल्वनोमीटर का उपयोग परिपथ में विद्युत धारा की उपस्थिति (पहचान) और दिशा ज्ञात करने के लिए किया जाता है, जबकि अमीटर उसका परिमाण मापता है।"
"48","The optical process of twinkling of stars is due to which of the following?","सितारों के चमकने की प्रकाशीय प्रक्रिया निम्नलिखित में से किसके कारण होती है?","Atmospheric reflection","वातावरणीय परावर्तन","Atmospheric refraction","वातावरणीय अपवर्तन","Total refraction","पूर्ण अपवर्तन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Stars twinkle due to the atmospheric refraction of starlight as it passes through varying densities of the Earth's atmosphere.","पृथ्वी के वायुमंडल की विभिन्न परतों के घनत्व में बदलाव के कारण तारों के प्रकाश का 'वातावरणीय अपवर्तन' (Atmospheric Refraction) होता है, जिससे तारे चमकते/टिमटिमाते दिखते हैं।"
"49","It is convenient to drink hot tea in a porcelain mug compared to a steel glass, because:","पोर्सलीन मग में गरम चाय पीना सुविधाजनक है, स्टील के गिलास की तुलना में, क्योंकि:","Porcelain mug has a handle","पोर्सलीन मग में हैन्डल होता है","Porcelain is a bad conductor of heat","पोर्सलीन ऊष्मा का कुचालक है","Tea will cool down faster in steel glass","स्टील के गिलास में चाय तेजी से ठंडी हो जाएगी","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Porcelain is a bad conductor (insulator) of heat, preventing the outside of the mug from getting too hot to hold.","पोर्सलीन ऊष्मा का कुचालक (Bad conductor) होता है, जिससे चाय की गर्माहट बाहर नहीं आती और हाथ नहीं जलता।"
"50","The image formed by a concave mirror:","अवतल दर्पण द्वारा बनाया हुआ प्रतिबिम्ब:","Will definitely be real if object is virtual","निश्चित रूप से वास्तविक होगा यदि वस्तु आभासी है","Is always real","हमेशा वास्तविक होता है","Is always virtual","हमेशा आभासी होता है","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","A concave mirror forms both real and virtual images for real objects. However, for a virtual object, it always forms a real image.","अवतल दर्पण वास्तविक वस्तुओं के लिए वास्तविक और आभासी दोनों प्रतिबिम्ब बनाता है। लेकिन यदि वस्तु आभासी है, तो प्रतिबिम्ब हमेशा वास्तविक ही बनता है।"
"51","Which of the following is included in amphoteric molecules?","निम्नलिखित में से कौन-सा ऐम्फोटेरिक अणुओं में शामिल है?","Acetic acid","ऐसिटिक अम्ल","Malic acid","मैलिक अम्ल","Water","जल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Water (H2O) is amphoteric because it can act as both an acid (donating a proton) and a base (accepting a proton).","जल (H2O) ऐम्फोटेरिक (उभयधर्मी) है क्योंकि यह अम्ल (प्रोटॉन देने वाला) और क्षार (प्रोटॉन लेने वाला) दोनों की तरह व्यवहार कर सकता है।"
"52","Lewis's postulate explains the behavior of which of the following?","लुईस की अभिधारणा, निम्नलिखित में से किसके बर्ताव को व्याख्यायित करती है?","Base","क्षार","Salt","लवण","Protonic acid","प्रोटोनिक ऐसिड","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","The Lewis concept defines an acid as an electron-pair acceptor and a base as an electron-pair donor.","गिल्बर्ट लुईस की अवधारणा के अनुसार, जो इलेक्ट्रॉन युग्म ग्रहण करे वह अम्ल है, और जो दान करे वह क्षार (Base) है।"
"53","What is the reverse of the neutralization process?","उदासीनीकरण प्रक्रिया का उत्क्रम क्या है?","Formation","फॉर्मेशन","Splitting","स्प्लिटिंग","Hydrolysis","हाइड्रोलिसिस","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Neutralization is Acid + Base → Salt + Water. Its reverse is Salt + Water → Acid + Base, which is known as Hydrolysis.","उदासीनीकरण (Neutralization) में अम्ल और क्षार मिलकर लवण और जल बनाते हैं। इसके विपरीत लवण और जल के टूटने की प्रक्रिया को 'जल अपघटन' (Hydrolysis) कहते हैं।"
"54","Which of the following is a secondary pollutant?","निम्नलिखित में से कौन-सा द्वितीयक प्रदूषक है?","CO2","CO2","HF","HF","CO","CO","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","CO2, HF, and CO are primary pollutants (emitted directly). Secondary pollutants form from reactions in the atmosphere.","CO2, HF और CO प्राथमिक प्रदूषक हैं। द्वितीयक प्रदूषक वायुमंडल में अभिक्रिया से बनते हैं। अतः विकल्प E सही है।"
"55","Which part of DNA provides information for a protein?","डी० एन०ए० का कौन-सा भाग प्रोटीन की सूचना देता है?","Chromosome","क्रोमोसोम","RNA","आर० एन०ए०","Gene","जीन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","A gene is a specific section of DNA that contains the instructions for making a particular protein.","जीन (Gene) डी.एन.ए. का वह विशिष्ट भाग है जो किसी विशेष प्रोटीन के निर्माण की सूचना देता है।"
"56","If a disease is transmitted from a non-human animal to a human, what is it called?","यदि कोई बीमारी नॉन ह्यूमैन प्राणी से किसी मनुष्य में पहुँचती है, तो इसे क्या कहते हैं?","Zoonotic disease","पशुजन्य बीमारी","Infectious disease","संक्रामक बीमारी","Congenital disease","जन्मजात बीमारी","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Diseases that can spread from animals to humans are scientifically termed 'Zoonotic diseases' (e.g., Rabies).","जानवरों से इंसानों में फैलने वाली बीमारियों को 'पशुजन्य बीमारी' (Zoonotic disease) कहा जाता है (जैसे- रेबीज)।"
"57","Which of the following is not an abiotic factor?","निम्नलिखित में से कौन-सा अजैविक कारक नहीं है?","Humidity","आर्द्रता","Animals","जन्तु","Altitude","उन्नतांश","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Animals (Jantu) are living organisms, hence they are a biotic (जैविक) factor, not abiotic (अजैविक).","जन्तु (Animals) सजीव होते हैं, इसलिए यह एक 'जैविक कारक' (Biotic factor) है, न कि अजैविक। आर्द्रता और उन्नतांश अजैविक हैं।"
"58","The effect of air pollution is usually found on which of the following?","वायु प्रदूषण का प्रभाव प्रायः निम्नलिखित में से किस पर पाया जाता है?","Flowers","फूलों पर","Stems","तनों पर","Leaves","पत्तियों पर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Air pollutants mainly enter plants through the stomata present on the leaves, causing maximum damage to them.","वायु प्रदूषक मुख्य रूप से पत्तियों पर मौजूद रंध्रों (Stomata) के माध्यम से पौधों में प्रवेश करते हैं, जिससे पत्तियों को सबसे अधिक नुकसान होता है।"
"59","The flow of electrons is called which of the following?","इलेक्ट्रॉन का प्रवाह निम्नलिखित में से क्या कहलाता है?","Electrolyte","अपघट्य","Electroplating","विद्युत् लेपन","Electric current","विद्युत्धारा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The continuous flow of free electrons in a definite direction within a conductor is defined as an electric current.","किसी चालक (Conductor) में एक निश्चित दिशा में मुक्त इलेक्ट्रॉनों के प्रवाह को विद्युत्धारा (Electric current) कहा जाता है।"
"60","Choose the correct unit for relative density from the following:","निम्नलिखित में से आपेक्षिक घनत्व के लिए सही इकाई (मात्रक) चुनिए:","kg/cm","कि०ग्रा० / से०मी०","Unitless","मात्रकविहीन","kg/m³","कि०ग्रा०/ घन मीटर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Relative density is the ratio of two densities, so the units cancel out, making it unitless.","आपेक्षिक घनत्व (Relative Density) दो समान भौतिक राशियों का अनुपात होता है, इसलिए यह मात्रकविहीन है।"
"61","If we keep camphor in an open vessel, its quantity continuously decreases. The name of this phenomenon is:","यदि हम कपूर को खुले बर्तन में रखें, तो उसकी मात्रा बराबर घटती रहती है। इस घटना का नाम है:","Sublimation","उत्सादन","Precipitation","अवक्षेपण","Condensation","संघनीकरण","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Camphor changes directly from solid to gas without becoming a liquid. This process is called sublimation.","कपूर बिना द्रव में बदले सीधे ठोस से गैस में बदल जाता है। इस प्रक्रिया को 'उत्सादन' या 'ऊर्ध्वपातन' (Sublimation) कहते हैं।"
"62","Name the metal which remains in a liquid state at room temperature.","कमरे के ताप पर द्रव स्थिति में रहने वाली धातु का नाम बताइए।","Mercury","पारा","Bromine","ब्रोमीन","Sodium","सोडियम","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Mercury is the only metal that is liquid at standard room temperature.","पारा (Mercury) एक ऐसी धातु है जो कमरे के ताप पर द्रव अवस्था में होती है।"
"63","The Central Government has extended the tenure of 'Atal Bhujal Yojana' up to:","केन्द्र सरकार ने 'अटल भूजल योजना' की समयावधि को बढ़ाया है:","2025","2025 तक","2027","2027 तक","2030","2030 तक","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","The Central Government extended the Atal Bhujal Yojana (ABY) for two more years until 2027 to ensure groundwater management.","केंद्र सरकार ने भूजल प्रबंधन को सुनिश्चित करने के लिए 'अटल भूजल योजना' (ABY) का कार्यकाल 2 साल बढ़ाकर 2027 तक कर दिया है।"
"64","Which Indian Institute of Technology has decided to open its campus in Tanzania?","किस भारतीय प्रौद्योगिकी संस्थान ने तंजानिया में अपना परिसर खोलने का निर्णय किया है?","IIT Madras","आइ० आइ० टी० मद्रास","IIT Delhi","आइ० आइ० टी० दिल्ली","IIT Mumbai","आइ० आइ० टी० मुम्बई","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","IIT Madras has set up its first international campus in Zanzibar, Tanzania.","IIT मद्रास ने अपना पहला अंतरराष्ट्रीय परिसर तंजानिया के ज़ांज़ीबार (Zanzibar) में स्थापित किया है।"
"65","'Kheer Bhawani Mela' is organized in:","'खीर भवानी मेला' आयोजित किया जाता है:","Punjab","पंजाब में","Rajasthan","राजस्थान में","Jammu and Kashmir","जम्मू-कश्मीर में","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Kheer Bhawani Mela is a famous annual festival celebrated by Kashmiri Pandits at the Mata Kheer Bhawani temple in Jammu and Kashmir.","खीर भवानी मेला जम्मू-कश्मीर में माता खीर भवानी मंदिर में कश्मीरी पंडितों द्वारा मनाया जाने वाला एक प्रसिद्ध वार्षिक उत्सव है।"
"66","Which is the longest irrigation canal in India?","भारत की सबसे लंबी सिचाई नहर कौन-सी है?","Yamuna Canal","यमुना नहर","Eastern Kosi Canal","पूर्वी कोसी नहर","Indira Gandhi Canal","इन्दिरा गाँधी नहर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The Indira Gandhi Canal is the longest canal in India (approx 650 km), starting from Harike Barrage and providing water to Rajasthan.","इन्दिरा गाँधी नहर भारत की सबसे लंबी नहर है (लगभग 650 किमी)। यह हरिके बैराज से निकलती है और राजस्थान को पानी प्रदान करती है।"
"67","Who is the new Central Vigilance Commissioner?","नए केन्द्रीय सतर्कता आयुक्त कौन है?","N. K. Srivastava","एन० के० श्रीवास्तव","P. K. Srivastava","पी० के० श्रीवास्तव","B. K. Verma","बी० के० वर्मा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Praveen Kumar Srivastava (P.K. Srivastava) was sworn in as the Central Vigilance Commissioner (CVC) in 2023.","प्रवीन कुमार श्रीवास्तव (पी.के. श्रीवास्तव) ने 2023 में नए केन्द्रीय सतर्कता आयुक्त (CVC) के रूप में शपथ ली।"
"68","What is the rank of India in the Henley Passport Index, 2023?","हेनले पासपोर्ट सूचकांक, 2023 में भारत का कौन-सा स्थान है?","144th","144वाँ","162nd","162वाँ","124th","124वाँ","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","In the July 2023 Henley Passport Index, India was ranked 80th. None of the given options are correct.","हेनले पासपोर्ट सूचकांक (जुलाई 2023) में भारत का स्थान 80वाँ था। दिए गए विकल्पों में से कोई भी सही नहीं है।"
"69","Mallika Sarabhai is associated with:","मल्लिका साराभाई सम्बन्धित है:","Medical Science","चिकित्सा विज्ञान से","Painting","चित्रकारी से","Classical Dance","शास्त्रीय नृत्य से","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Mallika Sarabhai is a renowned Indian classical dancer (Kuchipudi and Bharatanatyam) and actress.","मल्लिका साराभाई एक प्रसिद्ध भारतीय शास्त्रीय नृत्यांगना (कुचिपुड़ी और भरतनाट्यम) और अभिनेत्री हैं।"
"70","Which bank has decided to acquire the famous Credit Suisse Bank?","किस बैंक द्वारा प्रसिद्ध क्रेडिट सुइस बैंक का अधिग्रहण करने का निर्णय किया गया है?","UBS Bank","यू० बी० एस० बैंक","SBI Bank","एस० बी० आइ० बैंक","Central Bank of Japan","जापान का केन्द्र बैंक","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","UBS (Union Bank of Switzerland) acquired its rival Credit Suisse in 2023 to prevent a global banking crisis.","2023 में वैश्विक बैंकिंग संकट को रोकने के लिए यूबीएस (UBS) ने अपने प्रतिद्वंद्वी क्रेडिट सुइस बैंक का अधिग्रहण किया।"
"71","Which country organizes the 'Free Land Camp' every year for indigenous people?","कौन-सा देश प्रति वर्ष स्वदेशी लोगों के लिए 'फ्री लैंड कैंप' आयोजित करता है?","Nepal","नेपाल","India","भारत","Brazil","ब्राज़ील","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The 'Free Land Camp' (Acampamento Terra Livre) is an annual mobilization by the indigenous people of Brazil to fight for their land rights.","'फ्री लैंड कैंप' ब्राज़ील के स्वदेशी लोगों द्वारा अपने भूमि अधिकारों के लिए किया जाने वाला एक वार्षिक आयोजन है।"
"72","In which year was the 'Rashtriya Janata Dal' (RJD) founded?","'राष्ट्रीय जनता दल' की स्थापना किस वर्ष हुई थी?","1998","1998","1996","1996","1997","1997","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The Rashtriya Janata Dal (RJD) was founded by Lalu Prasad Yadav on July 5, 1997.","'राष्ट्रीय जनता दल' (राजद) की स्थापना लालू प्रसाद यादव द्वारा 5 जुलाई 1997 को की गई थी।"
"73","According to the Bihar Industrial Investment Promotion (Textile & Leather) Policy, 2022, what is the maximum amount of grant given for patent fees?","बिहार औद्योगिक निवेश प्रोत्साहन (वस्त्र एवं चर्म) नीति, 2022 के अनुसार, पेटेन्ट शुल्क की कितनी राशि तक का अनुदान दिया जाएगा?","5 lakh","5 लाख","10 lakh","10 लाख","20 lakh","20 लाख","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Under this policy, a grant of up to ₹10 lakh per patent is provided to promote innovation.","इस नीति के तहत, पेटेंट पंजीकरण हेतु अधिकतम ₹10 लाख प्रति पेटेंट का अनुदान दिया जाता है।"
"74","How many assembly constituencies are there under Patna district?","पटना जिले के अन्तर्गत कितने विधानसभा निर्वाचन क्षेत्र हैं?","16","16","12","12","14","14","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Patna district is divided into 14 Vidhan Sabha constituencies.","पटना जिले को 14 विधानसभा (Vidhan Sabha) निर्वाचन क्षेत्रों में बाँटा गया है।"
"75","India borrowed the idea of a federal system with a strong center from:","भारत ने एक मजबूत केन्द्र के साथ संघीय प्रणाली का विचार उधार लिया था:","Canada","कनाडा से","U.S.A.","यू० एस० ए० से","U.K.","यू० के० से","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","The Indian Constitution borrowed the concept of a 'Federation with a strong Centre' from the Constitution of Canada.","भारतीय संविधान में 'एक मजबूत केंद्र के साथ संघीय व्यवस्था' का प्रावधान कनाडा के संविधान से लिया गया है।"
"76","The minimum age required to become a member of the Rajya Sabha is:","राज्य सभा का सदस्य बनने के लिए आवश्यक न्यूनतम आयु है:","18 years","18 वर्ष","25 years","25 वर्ष","30 years","30 वर्ष","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Article 84(b) of the Constitution sets the minimum age for Rajya Sabha at 30 years.","संविधान के अनुसार, राज्यसभा का सदस्य बनने के लिए न्यूनतम आयु 30 वर्ष है।"
"77","Which Indian film won an Oscar award in 2023?","किस भारतीय फिल्म ने 2023 में ऑस्कर पुरस्कार जीता?","The Elephant Whisperers","द एलिफेंट व्हिस्पार्स","All That Breathes","ऑल दैट ब्रीदूस","Chhello Show","छेल्लो शो","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","'The Elephant Whisperers' won the Academy Award for Best Documentary Short Film in 2023.","'द एलिफेंट व्हिस्पर्स' ने 2023 में सर्वश्रेष्ठ वृत्तचित्र लघु फिल्म का ऑस्कर जीता।"
"78","Which article of the Constitution ensures the abolition of untouchability?","संविधान का कौन-सा अनुच्छेद अस्पृश्यता के उन्मूलन को सुनिश्चित करता है?","Article 15","अनुच्छेद 15","Article 16","अनुच्छेद 16","Article 17","अनुच्छेद 17","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Article 17 of the Indian Constitution abolishes the practice of untouchability.","भारतीय संविधान का अनुच्छेद 17 अस्पृश्यता (छुआछूत) के अंत का प्रावधान करता है।"
"79","Which of the following is not a giant (Jovian) planet?","निम्नलिखित में से कौन-सा वृहद् ग्रह नहीं है?","Mars","मंगल","Jupiter","बृहस्पति","Saturn","शनि","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Mars is a rocky planet, while Jupiter and Saturn are giant (gas) planets.","मंगल एक स्थलीय (चट्टानी) ग्रह है, जबकि बृहस्पति और शनि वृहद् ग्रह (गैस दानव) हैं।"
"80","In which district of Bihar is the production of paddy maximum?","बिहार के किस जिले में धान का उत्पादन सर्वाधिक होता है?","Bhojpur","भोजपुर","Rohtas","रोहतास","Nalanda","नालन्दा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Rohtas is the leading producer of paddy (rice) and wheat in Bihar.","रोहतास जिला बिहार में धान का सबसे बड़ा उत्पादक है।"
"81","Which is the establishment year of the Survey of India?","कौन-सा भारतीय सर्वेक्षण विभाग का स्थापना वर्ष है?","1667","1667","1767","1767","1867","1867","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","The Survey of India was set up in 1767 by the British East India Company.","'भारतीय सर्वेक्षण विभाग' की स्थापना 1767 में हुई थी।"
"82","Aquaculture (Pisciculture) is an indicator of:","मत्स्यकृषि सूचक है:","Determinism","नियतिवाद का","Possibilism","सम्भववाद का","Probabilism","सम्भाव्यतावाद का","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Aquaculture modifies the natural environment for human needs, illustrating the geographical concept of 'Possibilism'.","मत्स्यकृषि प्राकृतिक वातावरण को मानव उपयोग के लिए अनुकूलित करने का उदाहरण है, जो भूगोल में 'सम्भववाद' (Possibilism) को दर्शाता है।"
"83","The rocky surface found on a mountain peak is called:","पर्वत शिखर पर मिलने वाली चट्टानी सतह कहलाती है:","Felsenmeer","फेलसेनमीर","Fella","फेल्ला","Felt","फेल्ट","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","'Felsenmeer' is a German geographical term meaning 'sea of rock'.","'फेलसेनमीर' (Felsenmeer) पर्वत शिखरों या ठंडे प्रदेशों में मिलने वाली विस्तृत चट्टानी सतह को कहते हैं।"
"84","The 'Landschaft' ideology is associated with which school?","लैंडशाफ्ट विचारधारा किस स्कूल से सम्बन्धित है?","French school","फ्रेन्च स्कूल","German school","जर्मन स्कूल","British school","ब्रिटिश स्कूल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","'Landschaft' is a German geographical concept.","'लैंडशाफ्ट' (Landschaft) जर्मन भूगोलवेत्ताओं (German School of Geography) द्वारा विकसित एक अवधारणा है।"
"85","Where is Amarkantak, the origin of the Son river, located?","सोन नदी का उत्पत्ति-स्थल अमरकंटक कहाँ स्थित है?","Maikal Range","मैकाल श्रेणी","Makalu Range","मकालू श्रेणी","Rajmahal Hills","राजमहल पहाड़ियाँ","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Amarkantak is located in the Maikal Range of Madhya Pradesh.","अमरकंटक मध्य प्रदेश की मैकाल श्रेणी (Maikal Range) में स्थित है।"
"86","Approximately what percentage of the area of Madhya Pradesh is cultivable?","मध्य प्रदेश का लगभग कितना प्रतिशत क्षेत्रफल कृषि योग्य है?","44%","44%","30%","30%","50%","50%","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","About 44% to 49% of the total geographical area of Madhya Pradesh is considered net sown/cultivable area.","मध्य प्रदेश के कुल भौगोलिक क्षेत्रफल का लगभग 44% (Net Sown Area) कृषि योग्य भूमि के अंतर्गत आता है।"
"87","Environmental pollution gave birth to:","पर्यावरण प्रदूषण ने जन्म दिया:","Determinism","नियतिवाद को","Neo-determinism","नव-नियतिवाद को","Scientific determinism","वैज्ञानिक नियतिवाद को","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Environmental degradation led to 'Neo-determinism' proposed by Griffith Taylor.","पर्यावरण प्रदूषण और असंतुलन ने ग्रिफिथ टेलर के 'नव-नियतिवाद' को जन्म दिया।"
"88","In which district of Bihar is the production of wheat maximum?","बिहार के किस जिले में गेहूँ का उत्पादन सर्वाधिक होता है?","Patna","पटना","Rohtas","रोहतास","Jehanabad","जहानाबाद","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Rohtas is the highest producer of both wheat and paddy in Bihar.","रोहतास जिला बिहार में धान के साथ-साथ गेहूँ का भी सबसे बड़ा उत्पादक है।"
"89","Fault scarp is:","भंश स्कार्प होता है:","Structural","संरचनात्मक","Erosional","अपरदनात्मक","Tectonic","विवर्तनिक","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","A fault scarp is a small step or offset on the ground surface caused by fault movement, a tectonic feature.","भ्रंश कगार (Fault scarp) पृथ्वी की सतह पर एक खड़ी ढलान है जो भ्रंश (Fault) के कारण बनती है। यह एक विवर्तनिक स्थलाकृति है।"
"90","In which district of Bihar is the production of sugar maximum?","बिहार के किस जिले में चीनी का उत्पादन सर्वाधिक होता है?","East Champaran","पूर्वी चम्पारण","West Champaran","पश्चिमी चम्पारण","Saran","सारण","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","West Champaran is the leading producer of sugarcane and sugar in Bihar.","पश्चिमी चम्पारण बिहार में गन्ने और चीनी का सबसे बड़ा उत्पादक जिला है।"
"91","When was Patna College established?","पटना कॉलेज कब स्थापित हुआ?","1861","1861","1863","1863","1865","1865","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Patna College was established on January 9, 1863.","पटना कॉलेज की स्थापना 9 जनवरी 1863 को हुई थी।"
"92","Who among these was the editor of the newspaper 'Vande Mataram'?","इनमें से कौन 'वन्दे मातरम्' समाचार-पत्र के संपादक थे?","Bankim Chandra Chatterjee","बंकिम चन्द्र चटर्जी","Aurobindo Ghosh","अरविन्द घोष","Bipin Chandra Pal","विपिन चन्द्र पाल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","The English language newspaper 'Bande Mataram' was founded by Bipin Chandra Pal but edited primarily by Aurobindo Ghosh.","अंग्रेजी समाचार पत्र 'वंदे मातरम्' की शुरुआत विपिन चंद्र पाल ने की थी, लेकिन इसके प्रमुख संपादक अरविंद घोष थे।"
"93","By whom was the 'All India Harijan Sangh' founded in 1932?","'ऑल इंडिया हरिजन संघ' की स्थापना 1932 में किसके द्वारा की गई थी?","Dr. B. R. Ambedkar","डॉ० बी० आर० अम्बेदकर","Jagjivan Ram","जगजीवन राम","Mahatma Gandhi","महात्मा गाँधी","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Mahatma Gandhi founded the Harijan Sevak Sangh in 1932 to eradicate untouchability.","महात्मा गाँधी ने 1932 में 'हरिजन सेवक संघ' की स्थापना की थी।"
"94","Which event happened first?","कौन-सी घटना सबसे पहले हुई?","Quit India Movement Resolution","भारत छोड़ो आन्दोलन का प्रस्ताव","Arrival of Cripps Mission","क्रिप्स मिशन का आगमन","Arrival of Lord Wavell as Governor General","गवर्नर जनरल पद पर लॉर्ड वेवेल का आगमन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Cripps Mission arrived in March 1942. Quit India Resolution was in August 1942.","क्रिप्स मिशन (मार्च 1942), भारत छोड़ो प्रस्ताव (अगस्त 1942)। अतः सबसे पहले क्रिप्स मिशन का आगमन हुआ।"
